phase,epoch,batch,batches_per_epoch,lr,train_loss,train_ber,train_fer,epoch_time_s,cum_updates,cum_time_s
1,267,200,200,7.54e-05,0.0357,0.0144,0.14,14.24047040939331,53400,3818.8627257347107
1,268,200,200,7.52e-05,0.0345,0.0138,0.138,14.204873085021973,53600,3833.0675988197327
1,269,200,200,7.5e-05,0.0355,0.0142,0.138,14.206882238388062,53800,3847.2744810581207
1,270,200,200,7.49e-05,0.0336,0.0135,0.134,14.187470197677612,54000,3861.4619512557983
1,271,200,200,7.47e-05,0.035,0.0139,0.136,14.306852579116821,54200,3875.768803834915
1,272,200,200,7.45e-05,0.0339,0.0136,0.135,14.32736873626709,54400,3890.0961725711823
1,273,200,200,7.43e-05,0.0353,0.0142,0.14,14.344353199005127,54600,3904.4405257701874
1,274,200,200,7.42e-05,0.0354,0.0143,0.14,14.3572359085083,54800,3918.7977616786957
1,275,200,200,7.4e-05,0.0337,0.0135,0.133,14.35385799407959,55000,3933.1516196727753
1,276,200,200,7.38e-05,0.0349,0.014,0.137,14.313959121704102,55200,3947.4655787944794
1,277,200,200,7.37e-05,0.0344,0.0138,0.134,14.27091670036316,55400,3961.7364954948425
1,278,200,200,7.35e-05,0.0349,0.014,0.136,14.275651931762695,55600,3976.012147426605
1,279,200,200,7.33e-05,0.0337,0.0135,0.132,14.230232000350952,55800,3990.242379426956
1,280,200,200,7.31e-05,0.0335,0.0134,0.135,14.235684871673584,56000,4004.4780642986298
1,281,200,200,7.3e-05,0.0341,0.0136,0.135,14.218055009841919,56200,4018.6961193084717
1,282,200,200,7.28e-05,0.0346,0.014,0.137,14.211051225662231,56400,4032.907170534134
